Date,Customer ID,Order ID,Order Amount,Marketing Campaign,Product Launch,City,Payment Method,Customer Segment,Sales Representative,Discount Applied
2/26/2023 1:34,6364409,1,750.2652,Email Promo,Yes,Boston,Credit Card,Regular Customer,Charles Anderson,No
12/18/2022 5:43,93815,5390991,717.96,Referral,No,Jacksonville,PayPal,Loyal Customer,David Hall,No
3/5/2023 1:46,62694379,429,916.21,Holiday Campaign,No,Denver,PayPal,New Customer,Carol Hall,No
8/14/2023 5:50,18677,349090438,1126.36,Summer Sale,Yes,Houston,Cash,Regular Customer,Susan Harris,No
5/7/2021 6:38,57474797,177054,170.39,Referral,Yes,Seattle,Cash,New Customer,John Smith,No
11/30/2022 7:11,878,90657,1276.428,Referral,No,Memphis,Credit Card,Loyal Customer,Robert Lee,No
7/11/2023 7:42,7,112814,1414.62,Referral,No,San Jose,Credit Card,High-Value Customer,Karen Lewis,No
3/27/2020 14:00,277766666,6417,1016.469,Holiday Campaign,Yes,Austin,Credit Card,High-Value Customer,Mary Johnson,No
6/18/2020 22:45,630054,37429989,1575.53,Referral,No,Memphis,Credit Card,New Customer,James Brown,No
5/3/2023 22:07,8792,280338,804.23,Email Promo,Yes,San Diego,PayPal,Loyal Customer,Donna Brooks,No
6/23/2020 9:01,42112275,66637,1577.232,Referral,No,Las Vegas,Cash,Regular Customer,David Hall,No
1/17/2022 1:19,8,3571141,1867.68,Summer Sale,Yes,Memphis,PayPal,New Customer,Paul Rodriguez,No
5/27/2022 14:26,304,347101110,736.24,Holiday Campaign,No,San Francisco,PayPal,High-Value Customer,Thomas Turner,No
6/4/2022 8:55,15190,464007,1103.679,Referral,Yes,Memphis,Cash,High-Value Customer,Jessica Jackson,No
5/4/2022 11:06,944,642862,926.415,Referral,No,Charlotte,Credit Card,Regular Customer,Jennifer Jones,No
11/12/2022 22:33,57298,844933175,1899.72,Referral,Yes,Las Vegas,PayPal,Regular Customer,Richard White,No
3/8/2022 18:05,7941446,7954,1911.06,Summer Sale,Yes,Louisville,Cash,Loyal Customer,Michael Wilson,No
11/30/2020 9:12,924,286,798.696,Email Promo,Yes,Louisville,Cash,New Customer,Betty Martinez,No
4/16/2021 20:10,8055056,3793012,1250.15,Referral,No,Philadelphia,Credit Card,New Customer,Daniel Scott,No
2/28/2023 7:02,709,768,1709.676,Email Promo,No,Indianapolis,PayPal,High-Value Customer,William Taylor,No
11/29/2023 21:10,350239,3699,1364.532,Summer Sale,Yes,New York,PayPal,New Customer,David Hall,No
11/1/2022 2:31,93294,305595,2065.536,Referral,Yes,San Jose,PayPal,New Customer,Charles Anderson,No
7/16/2022 21:17,16423,54082251,52.24,Summer Sale,No,San Antonio,Cash,New Customer,Margaret Young,Yes
2/21/2023 16:45,939887,75984,106.6824,Referral,No,Detroit,Cash,Loyal Customer,Daniel Scott,No
12/23/2021 5:50,6885,261,1717.404,Email Promo,Yes,Oklahoma City,Cash,High-Value Customer,Patricia Miller,No
6/21/2022 7:59,25535540,1866,84.83,Summer Sale,Yes,Washington,Cash,Loyal Customer,Joseph Martin,Yes
1/25/2022 20:40,36,855999830,1700.448,Email Promo,Yes,Indianapolis,Cash,New Customer,Mark Walker,No
8/28/2023 5:44,3692,5794,1646.79,Holiday Campaign,No,Austin,PayPal,New Customer,Mary Johnson,No
12/11/2023 8:30,83935,115167,983.844,Holiday Campaign,Yes,Memphis,PayPal,High-Value Customer,Patricia Miller,No
4/1/2023 22:55,9784,55143172,1567.28,Referral,Yes,Nashville,Credit Card,Regular Customer,Lisa Garcia,No
11/2/2023 21:45,95001610,33589,594.168,Summer Sale,Yes,Fort Worth,Credit Card,New Customer,William Taylor,No
5/28/2020 23:02,32832865,616392,1918.22,Holiday Campaign,No,Indianapolis,Cash,High-Value Customer,Richard White,No
9/3/2020 11:38,78064,2904,1301.71,Holiday Campaign,No,Philadelphia,Cash,New Customer,Donna Brooks,No
1/18/2020 19:13,81848,1149778,671.544,Holiday Campaign,Yes,Denver,PayPal,Regular Customer,Steven Wright,No
8/4/2022 5:22,574,222,1806.28,Holiday Campaign,No,Austin,Cash,Regular Customer,Robert Lee,No
4/13/2022 6:18,2899,141933,323.64,Summer Sale,No,Memphis,PayPal,Regular Customer,Patricia Miller,No
2/3/2022 4:40,330047,7074,1962.7272,Holiday Campaign,No,Las Vegas,PayPal,Loyal Customer,Karen Lewis,No
12/3/2023 20:48,55716,69896,117.12,Summer Sale,No,Baltimore,Credit Card,High-Value Customer,Sandra Adams,No
6/13/2023 5:10,584,49672,714.71,Summer Sale,No,Columbus,PayPal,High-Value Customer,Patricia Miller,No
7/25/2020 14:01,1725,262942,335.052,Summer Sale,No,Indianapolis,PayPal,High-Value Customer,William Taylor,No
10/15/2023 12:39,67021,5253899,1225.89,Holiday Campaign,Yes,Nashville,PayPal,Regular Customer,Mary Johnson,No
3/7/2021 14:25,170655,3195,1013.52,Email Promo,No,Indianapolis,PayPal,New Customer,Ashley Perez,No
5/18/2020 3:25,3072555,1913,559.68,Email Promo,Yes,San Jose,Cash,Regular Customer,David Hall,No
8/8/2020 7:38,6935,96831686,1785.99,Summer Sale,Yes,Denver,PayPal,Regular Customer,Brian Mitchell,No
5/28/2022 13:08,8879,115,1998.41,Referral,No,Las Vegas,PayPal,Regular Customer,George Harris,No
9/21/2022 9:54,4492170,17842,513.1,Email Promo,Yes,Charlotte,PayPal,Loyal Customer,Elizabeth Davis,No
4/12/2023 6:46,49326837,305443,105.42,Holiday Campaign,Yes,Washington,PayPal,Loyal Customer,Charles Anderson,No
8/20/2021 13:11,792690,195,290.304,Summer Sale,Yes,San Jose,Credit Card,Regular Customer,Linda Clark,No
10/25/2020 17:16,51552,798902631,924.73,Referral,No,Louisville,Credit Card,New Customer,Mark Walker,No
11/12/2023 23:19,78103305,649,2366.244,Holiday Campaign,No,Baltimore,PayPal,Regular Customer,Carol Hall,No
4/4/2021 6:33,26,1506,1195.839,Summer Sale,Yes,Austin,PayPal,High-Value Customer,Edward Torres,No
10/6/2022 4:57,844990115,9253,593.38,Summer Sale,Yes,Austin,PayPal,Regular Customer,Steven Wright,No
1/29/2023 8:36,854131,643,952.608,Holiday Campaign,Yes,Chicago,Cash,New Customer,Daniel Scott,No
1/18/2022 13:51,145,4024,125.556,Referral,Yes,San Jose,Cash,High-Value Customer,Joseph Martin,No
12/18/2020 16:11,461406,2669,68.616,Email Promo,Yes,San Jose,Cash,Regular Customer,James Brown,Yes
1/13/2023 5:35,981180266,74604,799.584,Email Promo,No,San Antonio,Cash,New Customer,Margaret Young,No
8/24/2023 23:52,8626676,603,136.84,Holiday Campaign,Yes,Charlotte,Cash,Regular Customer,Margaret Young,No
12/3/2020 18:27,209155,875837077,789.948,Holiday Campaign,Yes,San Jose,Cash,New Customer,Sandra Adams,No
9/23/2023 0:42,897041019,943787,542.27,Referral,No,Washington,Cash,New Customer,Dorothy King,No
4/19/2023 20:38,37175991,6360365,1266.6,Email Promo,No,San Francisco,PayPal,New Customer,Margaret Young,No
8/15/2021 22:49,5007,18776,158.481,Referral,Yes,Chicago,Credit Card,Loyal Customer,Daniel Scott,No
8/18/2022 20:50,5772,51655927,738.12,Email Promo,No,Dallas,Credit Card,New Customer,John Smith,No
8/10/2021 0:17,44640324,469145,1074.14,Email Promo,Yes,Las Vegas,Cash,Loyal Customer,David Hall,No
12/24/2020 19:55,519485,9845,1586.088,Email Promo,Yes,Indianapolis,Credit Card,New Customer,Richard White,No
7/15/2021 9:57,6807996,694906,656.5,Summer Sale,Yes,Jacksonville,Credit Card,High-Value Customer,Paul Rodriguez,No
11/4/2021 21:53,86,9971,1673.784,Referral,Yes,San Francisco,Credit Card,Regular Customer,Mary Johnson,No
7/10/2021 19:52,70153116,18,306.22,Holiday Campaign,Yes,Nashville,Credit Card,High-Value Customer,Nancy Moore,No
1/25/2021 7:22,766115,402,1957.524,Holiday Campaign,Yes,Seattle,Cash,High-Value Customer,Dorothy King,No
10/9/2021 6:39,20432280,402091,1474.6,Holiday Campaign,No,Memphis,PayPal,Regular Customer,Karen Lewis,No
9/24/2022 9:32,16574,18544791,1441.368,Email Promo,Yes,Philadelphia,Cash,Loyal Customer,Robert Lee,No
4/30/2022 6:47,52097394,9051,1170.2,Referral,Yes,Jacksonville,Credit Card,Regular Customer,Thomas Turner,No
12/17/2023 8:25,216,18896,2094.606,Referral,No,Jacksonville,Cash,Regular Customer,Richard White,No
1/3/2021 21:36,9350953,9204192,1053.27,Summer Sale,Yes,Las Vegas,PayPal,Loyal Customer,David Hall,No
6/27/2023 9:26,6518836,60,1618.93,Summer Sale,Yes,Portland,Cash,New Customer,Jessica Jackson,No
3/31/2021 17:42,6799827,476919635,1708.47,Referral,Yes,Dallas,PayPal,High-Value Customer,Kenneth Nelson,No
9/14/2021 1:29,3878382,43,1456.77,Email Promo,Yes,Denver,PayPal,New Customer,Mary Johnson,No
12/29/2022 23:11,756,9414256,2263.716,Referral,Yes,Las Vegas,PayPal,Regular Customer,Mary Johnson,No
7/23/2021 19:22,452,879,1865.95,Summer Sale,No,Indianapolis,Credit Card,High-Value Customer,Jessica Jackson,No
4/6/2021 0:41,2043774,708,1343.394,Summer Sale,No,Philadelphia,Cash,New Customer,George Harris,No
10/7/2020 12:17,3132539,1772271,1954.64,Email Promo,No,Oklahoma City,Cash,New Customer,Steven Wright,No
1/11/2022 15:56,819,85539565,1961.82,Referral,No,Washington,Credit Card,High-Value Customer,Jennifer Jones,No
4/4/2023 21:56,84486,27474,557.739,Email Promo,No,San Antonio,Cash,Loyal Customer,John Smith,No
7/16/2022 17:37,15,992732861,605.95,Summer Sale,No,Fort Worth,Cash,Loyal Customer,Michael Wilson,No
10/17/2021 18:28,23421,55906,1934.58,Referral,No,Baltimore,PayPal,Regular Customer,Elizabeth Davis,No
12/9/2022 19:20,22,6553,647.784,Referral,No,San Jose,Cash,Loyal Customer,Robert Lee,No
5/20/2023 22:46,9237889,784479,480.65,Referral,Yes,Phoenix,Credit Card,High-Value Customer,Robert Lee,No
7/16/2022 23:22,512071177,4350274,506.29,Summer Sale,No,Jacksonville,Cash,Loyal Customer,Margaret Young,No
5/24/2021 1:31,91959743,92,861.26,Summer Sale,Yes,Portland,Cash,Loyal Customer,Ashley Perez,No
8/30/2020 8:24,25746740,3351505,660.069,Referral,No,Columbus,Credit Card,High-Value Customer,Donna Brooks,No
9/8/2022 21:01,8072557,60460815,225.68,Summer Sale,Yes,San Jose,Credit Card,High-Value Customer,Mary Johnson,No
5/25/2021 6:56,80,764805,224.55,Referral,No,Austin,Cash,Regular Customer,Jennifer Jones,No
2/1/2020 22:37,17333,9961211,1389.876,Summer Sale,Yes,Fort Worth,PayPal,Regular Customer,Sandra Adams,No
1/4/2023 0:09,283765243,46454,1489.812,Email Promo,Yes,Oklahoma City,Credit Card,High-Value Customer,Brian Mitchell,No
9/11/2022 16:13,7618,896,863.93,Holiday Campaign,No,Jacksonville,Credit Card,Loyal Customer,Patricia Miller,No
5/5/2023 16:02,34066,23,1213.2,Holiday Campaign,No,Oklahoma City,Cash,Loyal Customer,Mark Walker,No
11/18/2023 4:55,572712,787,985.704,Referral,Yes,Houston,PayPal,High-Value Customer,Dorothy King,No
5/4/2021 0:17,892493,3351034,484.164,Summer Sale,No,Seattle,Credit Card,Loyal Customer,Betty Martinez,No
7/30/2023 10:00,791732,458994763,1594.37,Referral,Yes,Chicago,Cash,New Customer,Dorothy King,No
3/10/2023 13:22,567240915,230532396,1712.48,Holiday Campaign,No,Milwaukee,Credit Card,New Customer,Karen Lewis,No
6/17/2023 0:16,8653897,398,1380.28,Email Promo,Yes,Detroit,PayPal,Regular Customer,Robert Lee,No
11/8/2022 6:36,11371523,252531228,1609.752,Email Promo,No,Washington,PayPal,Regular Customer,Daniel Scott,No
2/9/2021 0:57,11875,19455,284.796,Email Promo,Yes,Austin,Cash,High-Value Customer,Steven Wright,No
1/17/2022 21:53,56118129,5880,1017.396,Email Promo,No,Austin,Cash,New Customer,Paul Rodriguez,No
12/30/2020 11:32,0,68776578,1423.02,Email Promo,Yes,Boston,Cash,New Customer,Patricia Miller,No
10/9/2021 5:24,2399018,7335284,308.66,Email Promo,No,San Diego,Cash,Loyal Customer,Lisa Garcia,No
7/24/2020 15:14,211894491,547741,884.29,Holiday Campaign,No,Dallas,PayPal,New Customer,Robert Lee,No
1/20/2023 2:11,16,84313,1233.684,Summer Sale,No,Fort Worth,Credit Card,Regular Customer,Charles Anderson,No
7/30/2021 1:28,91688068,380008940,701.48,Holiday Campaign,No,Seattle,Credit Card,Regular Customer,Margaret Young,No
3/30/2021 0:10,334263167,77489,824.69,Holiday Campaign,No,Memphis,Credit Card,Regular Customer,Edward Torres,No
11/7/2023 17:13,40756,158,117.024,Summer Sale,Yes,Charlotte,Cash,Regular Customer,Karen Lewis,No
7/6/2021 15:25,55459111,7393672,788.35,Email Promo,No,San Francisco,Credit Card,High-Value Customer,Steven Wright,No
10/27/2022 16:46,65288,56434637,571.69,Summer Sale,Yes,Austin,Cash,High-Value Customer,Carol Hall,No
9/23/2023 1:15,8706561,662411046,1463.58,Summer Sale,No,Oklahoma City,Credit Card,New Customer,Susan Harris,No
12/21/2020 21:28,4180,9991,1860.5916,Holiday Campaign,No,Columbus,Cash,High-Value Customer,Steven Wright,No
1/19/2020 13:03,685024856,59610,1235.4552,Holiday Campaign,Yes,Chicago,Cash,New Customer,Carol Hall,No
1/14/2022 22:31,77331430,827722286,1273.416,Referral,Yes,Portland,Credit Card,Regular Customer,Ashley Perez,No
2/13/2021 5:30,632,73,1008.228,Holiday Campaign,No,Milwaukee,PayPal,Loyal Customer,John Smith,No
5/2/2021 1:04,663085536,597895,962.54,Email Promo,Yes,Phoenix,PayPal,High-Value Customer,Lisa Garcia,No
2/25/2020 20:20,2201,6923,1891.2,Summer Sale,No,Houston,Credit Card,New Customer,Carol Hall,No
12/3/2021 11:39,43800,93236925,574.728,Holiday Campaign,No,Detroit,PayPal,High-Value Customer,Brian Mitchell,No
9/25/2023 7:01,70221157,79456408,673.25,Summer Sale,Yes,Portland,Credit Card,High-Value Customer,William Taylor,No
12/6/2022 0:47,636,32189,2292.756,Holiday Campaign,No,San Francisco,Credit Card,Loyal Customer,Joseph Martin,No
12/22/2023 3:52,944617,686286,1250.076,Email Promo,No,Milwaukee,Cash,New Customer,Karen Lewis,No
5/31/2023 3:19,976866151,97818307,1375.65,Referral,No,Columbus,Credit Card,New Customer,Charles Anderson,No
4/24/2021 13:32,9383725,510,65.63,Email Promo,Yes,Boston,Cash,New Customer,Mary Johnson,Yes
6/1/2023 6:44,51765118,1299,1993.25,Referral,Yes,Baltimore,Cash,New Customer,James Brown,No
8/14/2023 7:40,606804201,2870073,1116.84,Referral,No,Chicago,Cash,Loyal Customer,Ashley Perez,No
7/9/2021 10:07,153,35,1672.929,Holiday Campaign,Yes,Indianapolis,PayPal,New Customer,Donna Brooks,No
11/5/2023 21:03,431680,180499,875.22,Holiday Campaign,No,San Diego,Credit Card,Regular Customer,Michael Wilson,No
7/3/2021 13:21,949,932,393.7,Email Promo,No,Jacksonville,PayPal,Regular Customer,David Hall,No
9/5/2022 8:07,9187874,64152,289.82,Email Promo,No,San Antonio,PayPal,New Customer,Joseph Martin,No
10/27/2022 11:52,84494050,75047,1370.907,Summer Sale,Yes,New York,PayPal,Loyal Customer,Betty Martinez,No
4/9/2020 10:01,3178,54823,758.385,Email Promo,No,Phoenix,Cash,New Customer,Kenneth Nelson,No
9/27/2020 7:20,77057,93292,1427.79,Summer Sale,Yes,Detroit,PayPal,New Customer,Patricia Miller,No
12/24/2020 14:59,289,96,1273.56,Summer Sale,Yes,Las Vegas,Cash,Regular Customer,James Brown,No
4/2/2020 14:07,43133,54,1179.306,Email Promo,No,Jacksonville,Credit Card,Loyal Customer,Mary Johnson,No
10/7/2021 14:11,7984065,345139,37.47,Summer Sale,No,Phoenix,Cash,High-Value Customer,Patricia Miller,Yes
3/23/2020 0:38,942274,92573712,1485.91,Holiday Campaign,Yes,Chicago,Cash,Regular Customer,Brian Mitchell,No
2/26/2022 5:37,68123,290,1477.86,Holiday Campaign,Yes,San Antonio,Cash,High-Value Customer,Daniel Scott,No
8/24/2020 22:41,776,354640,636.67,Referral,No,Seattle,Cash,High-Value Customer,Karen Lewis,No
10/9/2022 5:22,36195,8757232,1475.88,Referral,Yes,San Jose,Credit Card,High-Value Customer,Jennifer Jones,No
4/17/2020 11:06,554,32678,473.87,Referral,No,Oklahoma City,PayPal,Regular Customer,Robert Lee,No
2/22/2023 20:56,199823464,4559,1831.728,Referral,No,Washington,PayPal,High-Value Customer,Patricia Miller,No
6/17/2022 0:45,579549,776411,1119.4,Referral,No,Fort Worth,Credit Card,High-Value Customer,Daniel Scott,No
8/19/2020 9:28,539200581,653127,693.63,Holiday Campaign,Yes,Detroit,Cash,Loyal Customer,Patricia Miller,No
6/11/2021 18:57,114294233,72244,1584.73,Email Promo,Yes,Seattle,Cash,Regular Customer,Daniel Scott,No
8/7/2021 7:54,21194,36179,1896.82,Holiday Campaign,No,San Diego,Credit Card,Loyal Customer,Jessica Jackson,No
5/20/2020 18:48,8832,9172030,898.803,Holiday Campaign,Yes,San Antonio,Credit Card,Loyal Customer,Jennifer Jones,No
5/28/2021 13:55,20599788,523908340,1648.37,Summer Sale,No,Boston,Cash,Loyal Customer,Nancy Moore,No
6/15/2022 6:10,33298,88540833,883.9,Summer Sale,No,Los Angeles,Credit Card,New Customer,Patricia Miller,No
6/10/2022 23:54,42399,42604,1270.61,Referral,No,Los Angeles,PayPal,Loyal Customer,David Hall,No
8/26/2021 10:23,44,66173,967.91,Email Promo,No,Houston,Credit Card,Regular Customer,Edward Torres,No
1/6/2023 21:01,841590131,805,1071.624,Holiday Campaign,Yes,San Diego,Credit Card,High-Value Customer,Daniel Scott,No
1/13/2022 4:47,7001,6856,785.34,Summer Sale,Yes,Milwaukee,PayPal,Loyal Customer,Nancy Moore,No
10/22/2020 6:39,528,7782,1452.249,Referral,Yes,Portland,Credit Card,High-Value Customer,Carol Hall,No
1/6/2021 21:08,980688597,63119,1202.1,Email Promo,No,New York,Credit Card,High-Value Customer,Linda Clark,No
2/20/2023 2:14,32,48,166.356,Holiday Campaign,No,San Francisco,Cash,High-Value Customer,Daniel Scott,No
3/8/2022 23:39,693637,354,169.59,Summer Sale,No,Oklahoma City,Cash,Loyal Customer,Linda Clark,No
7/7/2023 13:37,296003164,5793,712.05,Referral,Yes,Jacksonville,Credit Card,High-Value Customer,David Hall,No
12/22/2023 13:44,946,67,2189.82,Email Promo,No,Chicago,Credit Card,Loyal Customer,Brian Mitchell,No
11/27/2022 18:43,541641364,62547,1905.768,Holiday Campaign,Yes,New York,Credit Card,New Customer,Brian Mitchell,No
8/13/2020 20:53,45428,3070980,1638.64,Email Promo,Yes,Jacksonville,Credit Card,Regular Customer,Joseph Martin,No
3/5/2021 11:40,781669133,87791,797.95,Email Promo,Yes,Las Vegas,PayPal,New Customer,Margaret Young,No
9/20/2020 10:22,710639,1112218,573.36,Holiday Campaign,Yes,Dallas,PayPal,Regular Customer,Margaret Young,No
2/22/2023 20:51,7643982,9895249,914.2416,Referral,Yes,Detroit,PayPal,New Customer,Lisa Garcia,No
4/4/2021 21:13,8697884,68,709.57,Email Promo,No,Seattle,Cash,Regular Customer,Edward Torres,No
9/23/2022 20:43,55695758,2072198,159.91,Referral,No,Phoenix,Credit Card,Loyal Customer,Brian Mitchell,No
8/2/2022 22:06,473690,682071,1126.62,Holiday Campaign,No,Chicago,Credit Card,Regular Customer,Thomas Turner,No
12/16/2023 13:46,2155087,767612,1927.032,Email Promo,No,Austin,Credit Card,Loyal Customer,Susan Harris,No
9/30/2022 14:45,511,49574760,1396.14,Holiday Campaign,Yes,Louisville,PayPal,Regular Customer,Robert Lee,No
9/14/2022 2:23,7709306,1549334,1195.84,Referral,Yes,Columbus,PayPal,Regular Customer,Michael Wilson,No
5/20/2023 19:32,755853,95882232,963.08,Holiday Campaign,Yes,Memphis,Cash,Loyal Customer,David Hall,No
5/31/2020 7:04,913,7182,1632.735,Referral,Yes,Portland,Credit Card,Loyal Customer,Joseph Martin,No
2/14/2020 4:43,211868466,648115,1630.5,Holiday Campaign,No,Baltimore,Credit Card,Loyal Customer,Mary Johnson,No
4/2/2020 3:32,3521604,28757857,566.9,Summer Sale,No,Dallas,Credit Card,Loyal Customer,Richard White,No
5/7/2023 2:47,582058507,94614075,264.03,Holiday Campaign,No,Indianapolis,PayPal,Regular Customer,Sandra Adams,No
8/8/2022 5:42,365666757,43171,1491.65,Referral,Yes,Philadelphia,Credit Card,High-Value Customer,Kenneth Nelson,No
1/28/2023 7:16,3929538,10494,857.292,Email Promo,No,Memphis,Credit Card,Loyal Customer,Lisa Garcia,No
1/26/2020 7:38,8148,950062803,272.538,Summer Sale,No,Las Vegas,Credit Card,Regular Customer,John Smith,No
1/21/2021 23:36,5587,534005,1299.888,Referral,Yes,San Diego,Cash,New Customer,Jennifer Jones,No
11/30/2020 6:54,696732,323057387,2395.728,Referral,No,Seattle,PayPal,New Customer,Daniel Scott,No
6/9/2023 4:38,66530293,63867,1798.83,Summer Sale,No,Washington,Credit Card,Loyal Customer,Paul Rodriguez,No
6/17/2022 10:12,910,66,1821.79,Email Promo,No,Philadelphia,PayPal,Loyal Customer,Joseph Martin,No
5/16/2022 21:10,8263,2776986,1826.34,Email Promo,No,Indianapolis,PayPal,Regular Customer,Daniel Scott,No
5/20/2023 6:53,9265563,962591,337.28,Holiday Campaign,Yes,Louisville,Credit Card,Loyal Customer,Betty Martinez,No
5/29/2021 0:29,966505,300206,270.92,Email Promo,Yes,Detroit,Cash,High-Value Customer,Margaret Young,No
9/5/2020 4:19,692257,81285319,377.87,Referral,No,Columbus,Credit Card,Regular Customer,Robert Lee,No
9/18/2020 12:02,17932694,6708481,175.17,Summer Sale,Yes,San Francisco,Cash,High-Value Customer,Steven Wright,No
11/21/2023 5:53,89979,930847519,411.708,Holiday Campaign,No,Nashville,PayPal,Loyal Customer,Betty Martinez,No
10/7/2020 18:32,92600150,599077750,965.8,Email Promo,No,Charlotte,Credit Card,New Customer,Richard White,No
3/14/2023 3:14,374,63262,649.02,Holiday Campaign,No,San Antonio,Cash,High-Value Customer,Susan Harris,No
8/1/2023 22:50,178,8778480,1383.44,Summer Sale,No,San Diego,Cash,Regular Customer,Michael Wilson,No
6/29/2020 23:15,27600,77,1205.67,Holiday Campaign,No,Oklahoma City,Credit Card,Regular Customer,Betty Martinez,No
3/28/2020 14:37,504557,679161792,757.24,Holiday Campaign,Yes,Philadelphia,Cash,High-Value Customer,Michael Wilson,No
12/3/2021 10:45,8971,61406080,933.24,Referral,Yes,Baltimore,PayPal,Loyal Customer,Nancy Moore,No
6/12/2020 11:39,96937424,66078565,1265.27,Email Promo,Yes,Los Angeles,Cash,New Customer,Joseph Martin,No
6/27/2021 14:19,70549,2986382,1681.44,Referral,Yes,Columbus,Cash,New Customer,Jessica Jackson,No
11/10/2020 1:00,3984709,957,1671.2028,Holiday Campaign,No,Houston,Cash,Regular Customer,James Brown,No
11/22/2022 21:03,1493,8425,2128.734,Summer Sale,No,New York,Credit Card,Loyal Customer,John Smith,No
2/16/2020 5:55,79,61,2383.224,Email Promo,Yes,Fort Worth,Cash,Loyal Customer,Elizabeth Davis,No
1/11/2023 10:30,9587053,565975,429,Holiday Campaign,Yes,Baltimore,PayPal,New Customer,Patricia Miller,No
